problem,Facebook metrics,Facebook metrics,Facebook metrics,Facebook metrics,Forest fires,Forest fires,Forest fires,Forest fires,Aquatic toxicity,Aquatic toxicity,Aquatic toxicity,Aquatic toxicity,Fish toxicity,Fish toxicity,Fish toxicity,Fish toxicity,Airfoil noise,Airfoil noise,Airfoil noise,Airfoil noise,Concrete strenght,Concrete strenght,Concrete strenght,Concrete strenght
bucket,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5
trial,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0017744546622050516,0.0015062200461232907,0.0029503082599974984,0.001104723530728542,0.03987679502863184,0.04057499157734702,0.04411266084988544,0.04062630299112034,0.016746568820178834,0.014537333292823047,0.016429184028598755,0.01582162072079602,0.008693450274188722,0.008847744791750383,0.018368087797042874,0.009518641204513085,0.006366180385949916,0.011381128369081808,0.03335013458915109,0.010446991971578007,0.013337435795853024,0.014356389971335879,0.01554338551330137,0.01747172509266861
1,0.002365921427478217,0.0016585172871632417,0.0029526472590303563,0.0019683453479902614,0.04122736955234395,0.0443347530982528,0.044352302278835694,0.04145659161903947,0.02161404213399354,0.015222653010521166,0.01397835282263909,0.015103770672060118,0.011461309022777526,0.008365392372149514,0.008891371510359581,0.008484949548167796,0.014323999841075923,0.011229515503472617,0.00923200773766976,0.01404590080110389,0.009571669119523488,0.014277404679844044,0.016741646567369664,0.017128952824608388
2,0.004669106337787791,0.0012404942498355752,0.0033600344784729883,0.003970574207972735,0.046933945694728696,0.04193017033735653,0.04235644844135593,0.043992791639858274,0.015533901755819276,0.01772044151960604,0.015675731551248052,0.013704911566173225,0.009300306792636137,0.0088314764913144,0.009331031283996446,0.009279139572599716,0.01241080433605073,0.011006023651333548,0.01497085012058128,0.013902164697631026,0.016476123738130764,0.012583985035480937,0.01930305317252015,0.030035027796848968
3,0.00448657100002737,0.001380486586669148,0.0035843485814273106,0.007240427564407544,0.0409311040748575,0.042482677625195725,0.04493624244461718,0.046762223781751475,0.017936041801815177,0.020609019247433604,0.016037289431246608,0.015018417581840577,0.008958571828905441,0.009234505559110606,0.008901301393240123,0.01979419930992968,0.012491071065301665,0.009951057656620138,0.011566616659296536,0.010839435352439286,0.017037780048285184,0.01010422356747044,0.017780036416154697,0.012892457324097757
4,0.0021780974703119703,0.0025578947249641957,0.002445566281660738,0.001983954219668214,0.04013813445608946,0.04551144466801948,0.04103356782472847,0.039348168036827044,0.01724125639414229,0.016513966661178228,0.014736003758739777,0.020301130094491717,0.02072901137515472,0.008718171535254336,0.00878586535935625,0.008797785688739007,0.011440291058769111,0.013299258982969317,0.013158354376734172,0.012425088215319336,0.011862740775604822,0.058662383738690774,0.014818844743168441,0.020498022473512883
5,0.0017399402645918722,0.0008853918530419695,0.002120207291707267,0.0019404659819990215,0.043553204109233405,0.04092680753380107,0.042395120437369274,0.04723122528709748,0.014506980116231815,0.014783429481061426,0.01637926778204103,0.018107669137221345,0.010421002584110136,0.00893402180110529,0.008453407015705457,0.017854067576129246,0.011217946246442932,0.0131756263802801,0.010707511368542163,0.012013406960148222,0.019913980126915188,0.016298557672696105,0.045223212638712,0.008987764354095604
6,0.002926524629225418,0.00139409812302518,0.0016633247692697253,0.00104117024668842,0.041142623180528956,0.04284483326484923,0.04267192296268003,0.044523666494731245,0.015434873419163116,0.020771420593811023,0.014445434034697375,0.014338263964837552,0.009628186327132743,0.009612047709522405,0.019215415191297856,0.02000913569708203,0.013756210584928036,0.012809962929684799,0.012250323224979215,0.011430160876328779,0.016538636865350863,0.024148811750332493,0.010726918857995137,0.016657050877757186
7,0.002178050286819692,0.0023257935783625398,0.0013484707609498394,0.002017815987692172,0.047074965216792775,0.04264797952222583,0.043445991337607424,0.11500851741213415,0.01798144805717655,0.01653922753882258,0.022629713906192356,0.014581678101049893,0.008651819381777944,0.009280605269776908,0.008426155006606914,0.008142767521224635,0.014699318927968023,0.01309584782323186,0.014386512238968856,0.012357287330666548,0.011218712699771321,0.014240133540729494,0.018076318043535742,0.04755022938033688
8,0.0011684281409033842,0.0018165070679625852,0.0015959985183493423,0.0016006504334532192,0.04591352189982228,0.0418059526082875,0.041066439897218386,0.04134786784044483,0.017243582110767222,0.015263221800686174,0.019912447384714406,0.015287972895468668,0.008968680658373801,0.008622875662755271,0.008205594760719952,0.009671122584087257,0.011286625854969257,0.010020438292702116,0.012712354506726042,0.014974150211335803,0.016010221908328775,0.01613741942082769,0.011613019525540962,0.016173517892074864
9,0.0016965172658522164,0.002183875078159824,0.0016333793307050754,0.0017891055451281714,0.043482041319294756,0.04385747857426541,0.04637299896060969,0.051739615746227756,0.02119370411049873,0.016357098101242473,0.021637077602227748,0.02028294521257126,0.020276248939437736,0.02042177091585703,0.020163315478868637,0.008817541714084203,0.011190174785170943,0.015634308006842075,0.009898527525141044,0.012631996175405063,0.01902061553654485,0.015931302845355568,0.01681598643563415,0.019186357735538336
